search_board_type Mt.Snow
ipmitool -H 10.38.165.35 -U admin -P password  sel list
   1 | 03/25/2021 | 00:01:57 | Drive Slot #0x01 | Drive Present | Asserted
   2 | 03/25/2021 | 00:03:25 | Processor #0xe4 | Presence detected | Asserted
   3 | 03/25/2021 | 00:03:30 | Power Supply #0xe6 | Presence detected | Asserted
   4 | 03/25/2021 | 00:03:44 | Power Unit #0xff | Power off/down | Asserted
   5 | 03/25/2021 | 00:04:06 | Processor #0xe4 | Presence detected | Asserted
   6 | 03/25/2021 | 00:07:09 | OEM record c1 | 000000 | 06980a263756
   7 | 03/25/2021 | 00:07:14 | OEM record c1 | 000000 | 06000a263756
   8 | 03/25/2021 | 00:10:51 | OEM record c1 | 000000 | 06980a263756
   9 | 03/25/2021 | 00:10:56 | OEM record c1 | 000000 | 06000a263756
   a | 03/25/2021 | 00:19:47 | Drive Slot #0x01 | Drive Present | Asserted
   b | 03/25/2021 | 00:19:58 | System Event | OEM System boot event | Asserted
   c | 03/25/2021 | 00:20:47 | Power Supply #0xe6 | Presence detected | Asserted
   d | 03/25/2021 | 00:20:50 | OS Boot #0x22 | boot completed - device not specified | Asserted
   e | 03/25/2021 | 00:20:54 | Voltage #0x4f | Upper Non-critical going high | Asserted
   f | 03/25/2021 | 00:20:54 | Voltage #0x4f | Upper Critical going high | Asserted
  10 | 03/25/2021 | 00:25:15 | Reserved #0x6f | Transition to OK | Asserted
  11 | 03/25/2021 | 00:31:16 | Voltage #0x4f | Upper Critical going high | Deasserted
  12 | 03/25/2021 | 00:31:34 | Voltage #0x4f | Upper Critical going high | Asserted
  13 | 03/25/2021 | 00:32:32 | System Event | OEM System boot event | Asserted
  14 | 03/25/2021 | 00:32:41 | OS Boot #0x22 | boot completed - device not specified | Asserted
  15 | 03/25/2021 | 00:35:14 | Voltage #0x4f | Upper Critical going high | Deasserted
  16 | 03/25/2021 | 00:35:31 | Voltage #0x4f | Upper Critical going high | Asserted
  17 | 03/25/2021 | 00:36:30 | System Event | OEM System boot event | Asserted
  18 | 03/25/2021 | 00:36:39 | OS Boot #0x22 | boot completed - device not specified | Asserted
